Economies,2013,2014,2015,2016,2017,2018
GDP (USD million),16784851,17527258.3,18224780.3,18715040.5,19519423.5,20580223
GDP  (% growth),1.8,2.5,2.9,1.6,2.4,2.9
Inflation (% growth),1.5,1.6,0.1,1.3,2.1,2.4
Unemployment Rate ,7.4,6.2,5.3,4.9,4.3,3.9
Total Population ('000),316234.5,318622.5,321039.8,323405.9,325719.2,327719.6
Median population Age ,37.6,37.7,37.8,37.9,38.1,38.2
Number of Households ('000),122459,123229,124587,125819,126224,127180.9
Consumer Expenditure (USD million),11015084.2,11509306.2,11975445.7,12403157.7,12948036.6,13587159.1
Internet Users ('000),211614.3,218081.1,224496.5,259594.6,266839.5,273317
