STFID,STFIDNUM,COUNTYNAME,TRACT,BLKGRP,LOW,LOWMOD,LOWMODUNIV,LOWMODPCT,BLKGRPLABEL,TRACTLABEL,LABELFULL
080310154002,80310154002.0,Denver County,015400,2,320.0,475.0,975.0,0.4872,Block Group 2,Tract 154,Tract 154 Block Group 2
080310016003,80310016003.0,Denver County,001600,3,665.0,845.0,1860.0,0.4543,Block Group 3,Tract 16,Tract 16 Block Group 3
080310119024,80310119024.0,Denver County,011902,4,555.0,790.0,1420.0,0.5563,Block Group 4,Tract 119.02,Tract 119.02 Block Group 4
080310119021,80310119021.0,Denver County,011902,1,55.0,240.0,1945.0,0.1234,Block Group 1,Tract 119.02,Tract 119.02 Block Group 1
080310041041,80310041041.0,Denver County,004104,1,575.0,590.0,935.0,0.631,Block Group 1,Tract 41.04,Tract 41.04 Block Group 1
080310005024,80310005024.0,Denver County,000502,4,970.0,1085.0,1440.0,0.7535,Block Group 4,Tract 5.02,Tract 5.02 Block Group 4
080310019021,80310019021.0,Denver County,001902,1,20.0,20.0,95.0,0.2105,Block Group 1,Tract 19.02,Tract 19.02 Block Group 1
080310070061,80310070061.0,Denver County,007006,1,1540.0,2025.0,2610.0,0.7759,Block Group 1,Tract 70.06,Tract 70.06 Block Group 1
080310004026,80310004026.0,Denver County,000402,6,90.0,155.0,480.0,0.3229,Block Group 6,Tract 4.02,Tract 4.02 Block Group 6
080310034023,80310034023.0,Denver County,003402,3,230.0,335.0,1090.0,0.3073,Block Group 3,Tract 34.02,Tract 34.02 Block Group 3
080310041034,80310041034.0,Denver County,004103,4,140.0,180.0,920.0,0.1957,Block Group 4,Tract 41.03,Tract 41.03 Block Group 4
080310045062,80310045062.0,Denver County,004506,2,560.0,830.0,1360.0,0.6103,Block Group 2,Tract 45.06,Tract 45.06 Block Group 2
080310043061,80310043061.0,Denver County,004306,1,140.0,140.0,530.0,0.2642,Block Group 1,Tract 43.06,Tract 43.06 Block Group 1
080310052002,80310052002.0,Denver County,005200,2,90.0,280.0,750.0,0.3733,Block Group 2,Tract 52,Tract 52 Block Group 2
080310157003,80310157003.0,Denver County,015700,3,260.0,505.0,1195.0,0.4226,Block Group 3,Tract 157,Tract 157 Block Group 3
080310028011,80310028011.0,Denver County,002801,1,170.0,330.0,1040.0,0.3173,Block Group 1,Tract 28.01,Tract 28.01 Block Group 1
080310024033,80310024033.0,Denver County,002403,3,750.0,880.0,1225.0,0.7184,Block Group 3,Tract 24.03,Tract 24.03 Block Group 3
080310028021,80310028021.0,Denver County,002802,1,540.0,875.0,1650.0,0.5303,Block Group 1,Tract 28.02,Tract 28.02 Block Group 1
080310007024,80310007024.0,Denver County,000702,4,260.0,350.0,505.0,0.6931,Block Group 4,Tract 7.02,Tract 7.02 Block Group 4
080310001022,80310001022.0,Denver County,000102,2,290.0,470.0,1505.0,0.3123,Block Group 2,Tract 1.02,Tract 1.02 Block Group 2
080310007021,80310007021.0,Denver County,000702,1,790.0,940.0,1175.0,0.8,Block Group 1,Tract 7.02,Tract 7.02 Block Group 1
080310040023,80310040023.0,Denver County,004002,3,105.0,200.0,860.0,0.2326,Block Group 3,Tract 40.02,Tract 40.02 Block Group 3
080319800001,80319800001.0,Denver County,980000,1,425.0,680.0,1230.0,0.5528,Block Group 1,Tract 9800,Tract 9800 Block Group 1
080310004023,80310004023.0,Denver County,000402,3,425.0,485.0,1110.0,0.4369,Block Group 3,Tract 4.02,Tract 4.02 Block Group 3
080310028034,80310028034.0,Denver County,002803,4,305.0,625.0,1350.0,0.463,Block Group 4,Tract 28.03,Tract 28.03 Block Group 4
080310051021,80310051021.0,Denver County,005102,1,40.0,190.0,700.0,0.2714,Block Group 1,Tract 51.02,Tract 51.02 Block Group 1
080310013013,80310013013.0,Denver County,001301,3,490.0,585.0,975.0,0.6,Block Group 3,Tract 13.01,Tract 13.01 Block Group 3
080310043031,80310043031.0,Denver County,004303,1,175.0,315.0,1545.0,0.2039,Block Group 1,Tract 43.03,Tract 43.03 Block Group 1
080310044053,80310044053.0,Denver County,004405,3,315.0,470.0,1070.0,0.4393,Block Group 3,Tract 44.05,Tract 44.05 Block Group 3
080310050012,80310050012.0,Denver County,005001,2,240.0,405.0,975.0,0.4154,Block Group 2,Tract 50.01,Tract 50.01 Block Group 2
080310027014,80310027014.0,Denver County,002701,4,705.0,870.0,965.0,0.9016,Block Group 4,Tract 27.01,Tract 27.01 Block Group 4
080310042011,80310042011.0,Denver County,004201,1,85.0,130.0,990.0,0.1313,Block Group 1,Tract 42.01,Tract 42.01 Block Group 1
080310030015,80310030015.0,Denver County,003001,5,40.0,280.0,1185.0,0.2363,Block Group 5,Tract 30.01,Tract 30.01 Block Group 5
080310005012,80310005012.0,Denver County,000501,2,155.0,210.0,795.0,0.2642,Block Group 2,Tract 5.01,Tract 5.01 Block Group 2
080310083122,80310083122.0,Denver County,008312,2,1365.0,2070.0,2235.0,0.9262,Block Group 2,Tract 83.12,Tract 83.12 Block Group 2
080310083064,80310083064.0,Denver County,008306,4,2060.0,2735.0,3205.0,0.8534,Block Group 4,Tract 83.06,Tract 83.06 Block Group 4
080310016001,80310016001.0,Denver County,001600,1,1290.0,1810.0,2555.0,0.7084,Block Group 1,Tract 16,Tract 16 Block Group 1
080310027024,80310027024.0,Denver County,002702,4,220.0,330.0,645.0,0.5116,Block Group 4,Tract 27.02,Tract 27.02 Block Group 4
080310038003,80310038003.0,Denver County,003800,3,170.0,320.0,1480.0,0.2162,Block Group 3,Tract 38,Tract 38 Block Group 3
080310011011,80310011011.0,Denver County,001101,1,90.0,195.0,385.0,0.5065,Block Group 1,Tract 11.01,Tract 11.01 Block Group 1
080310051041,80310051041.0,Denver County,005104,1,805.0,1385.0,1940.0,0.7139,Block Group 1,Tract 51.04,Tract 51.04 Block Group 1
