Economies,2013,2014,2015,2016,2017,2018
GDP (USD million),16784851.0,17527258.3,18224780.3,18715040.5,19519423.5,20580223.0
Real GDP Growth (% growth),1.8,2.5,2.9,1.6,2.4,2.9
Inflation (% growth),1.5,1.6,0.1,1.3,2.1,2.4
Unemployment Rate (% of economically active population),7.4,6.2,5.3,4.9,4.3,3.9
Exchange Rates Against US Dollar (USD per USD),1.0,1.0,1.0,1.0,1.0,1.0
