Economies,2013,2014,2015,2016,2017,2018
Total Population ('000),63905.3,64351.2,64853.4,65379.0,65844.1,66273.6
Median Age of Population (years),39.8,39.9,40.0,40.0,40.0,40.1
Number of Households ('000),26828.5,27023.1,27241.0,27468.4,27669.9,27856.2
Consumer Expenditure (USD million),1705232.6,1870092.1,1788964.6,1648961.8,1645669.5,1773974.7
Internet Users ('000),53816.9,55269.5,55960.8,58152.9,58528.7,59144.2
